Res_EigenvalueAc
                              1                         2                         3                         4                         5                         6                         7                         8                         9                        10                        11                        12                        13                        14                        15                        16                        17                        18                        19                        20                        21                        22                        23                        24                        25                        26                        27                        28                        29                        30                        31                        32                        33                        34                        35                        36                        37                        38                        39                        40 
    1 (-2.2761e+01, 2.2761e+04) (-2.2761e+01,-2.2761e+04) (-2.1973e+01, 2.1973e+04) (-2.1973e+01,-2.1973e+04) (-1.9955e+01, 1.9955e+04) (-1.9955e+01,-1.9955e+04) (-1.7398e+01, 1.7398e+04) (-1.7398e+01,-1.7398e+04) (-1.4826e+01, 1.4826e+04) (-1.4826e+01,-1.4826e+04) (-1.2485e+01, 1.2485e+04) (-1.2485e+01,-1.2485e+04) (-1.0439e+01, 1.0439e+04) (-1.0439e+01,-1.0439e+04) (-8.6785e+00, 8.6785e+03) (-8.6785e+00,-8.6785e+03) (-7.1697e+00, 7.1697e+03) (-7.1697e+00,-7.1697e+03) (-5.8819e+00, 5.8819e+03) (-5.8819e+00,-5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00, 3.7474e+03) (-3.7474e+00,-3.7474e+03) (-2.9300e+00, 2.9300e+03) (-2.9300e+00,-2.9300e+03) (-2.2239e+00, 2.2239e+03) (-2.2239e+00,-2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00, 1.1232e+03) (-1.1232e+00,-1.1232e+03) (-7.1719e-01, 7.1719e+02) (-7.1719e-01,-7.1719e+02) (-4.0297e-01, 4.0297e+02) (-4.0297e-01,-4.0297e+02) (-1.7902e-01, 1.7902e+02) (-1.7902e-01,-1.7902e+02) (-4.4751e-02, 4.4751e+01) (-4.4751e-02,-4.4751e+01) 

Res_EigenvalueAc
                              1                         2                         3                         4                         5                         6                         7                         8                         9                        10                        11                        12                        13                        14                        15                        16                        17                        18                        19                        20                        21                        22                        23                        24                        25                        26                        27                        28                        29                        30                        31                        32                        33                        34                        35                        36                        37                        38                        39                        40 
    1 (-4.0828e+02, 1.5172e+05) (-4.0828e+02,-1.5172e+05) (-3.9716e+03, 1.0913e+05) (-3.9716e+03,-1.0913e+05) (-2.2761e+01,-2.2761e+04) (-2.2761e+01, 2.2761e+04) (-2.1973e+01, 2.1973e+04) (-2.1973e+01,-2.1973e+04) (-1.9955e+01, 1.9955e+04) (-1.9955e+01,-1.9955e+04) (-8.7081e+02, 1.7561e+04) (-8.7081e+02,-1.7561e+04) (-1.7398e+01,-1.7398e+04) (-1.7398e+01, 1.7398e+04) (-1.4826e+01,-1.4826e+04) (-1.4826e+01, 1.4826e+04) (-1.2485e+01, 1.2485e+04) (-1.2485e+01,-1.2485e+04) (-1.0439e+01, 1.0439e+04) (-1.0439e+01,-1.0439e+04) (-8.6785e+00, 8.6785e+03) (-8.6785e+00,-8.6785e+03) (-7.1697e+00, 7.1697e+03) (-7.1697e+00,-7.1697e+03) (-5.8819e+00, 5.8819e+03) (-5.8819e+00,-5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00,-3.7474e+03) (-3.7474e+00, 3.7474e+03) (-2.9300e+00,-2.9300e+03) (-2.9300e+00, 2.9300e+03) (-2.2239e+00,-2.2239e+03) (-2.2239e+00, 2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00,-1.1232e+03) (-1.1232e+00, 1.1232e+03) (-5.3047e-01,-4.4814e+01) (-5.3047e-01, 4.4814e+01) 
    2 (-3.5908e+02, 1.5162e+05) (-3.5908e+02,-1.5162e+05) (-6.0582e+03, 1.1066e+05) (-6.0582e+03,-1.1066e+05) (-2.2761e+01,-2.2761e+04) (-2.2761e+01, 2.2761e+04) (-2.1973e+01, 2.1973e+04) (-2.1973e+01,-2.1973e+04) (-1.9955e+01, 1.9955e+04) (-1.9955e+01,-1.9955e+04) (-7.7163e+02, 1.8204e+04) (-7.7163e+02,-1.8204e+04) (-1.7398e+01,-1.7398e+04) (-1.7398e+01, 1.7398e+04) (-1.4826e+01,-1.4826e+04) (-1.4826e+01, 1.4826e+04) (-1.2485e+01, 1.2485e+04) (-1.2485e+01,-1.2485e+04) (-1.0439e+01, 1.0439e+04) (-1.0439e+01,-1.0439e+04) (-8.6785e+00, 8.6785e+03) (-8.6785e+00,-8.6785e+03) (-7.1697e+00, 7.1697e+03) (-7.1697e+00,-7.1697e+03) (-5.8819e+00, 5.8819e+03) (-5.8819e+00,-5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00,-3.7474e+03) (-3.7474e+00, 3.7474e+03) (-2.9300e+00,-2.9300e+03) (-2.9300e+00, 2.9300e+03) (-2.2239e+00,-2.2239e+03) (-2.2239e+00, 2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00,-1.1232e+03) (-1.1232e+00, 1.1232e+03) ( 5.1048e-01,-4.4432e+01) ( 5.1048e-01, 4.4432e+01) 
    3 (-1.3732e+03, 1.5101e+05) (-1.3732e+03,-1.5101e+05) (-9.2365e+03, 1.2834e+05) (-9.2365e+03,-1.2834e+05) (-2.2761e+01,-2.2761e+04) (-2.2761e+01, 2.2761e+04) (-2.1973e+01, 2.1973e+04) (-2.1973e+01,-2.1973e+04) (-1.9955e+01, 1.9955e+04) (-1.9955e+01,-1.9955e+04) (-4.7866e+02, 1.9950e+04) (-4.7866e+02,-1.9950e+04) (-1.7398e+01,-1.7398e+04) (-1.7398e+01, 1.7398e+04) (-1.4826e+01,-1.4826e+04) (-1.4826e+01, 1.4826e+04) (-1.2485e+01, 1.2485e+04) (-1.2485e+01,-1.2485e+04) (-1.0439e+01, 1.0439e+04) (-1.0439e+01,-1.0439e+04) (-8.6785e+00, 8.6785e+03) (-8.6785e+00,-8.6785e+03) (-7.1697e+00, 7.1697e+03) (-7.1697e+00,-7.1697e+03) (-5.8819e+00, 5.8819e+03) (-5.8819e+00,-5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00,-3.7474e+03) (-3.7474e+00, 3.7474e+03) (-2.9300e+00,-2.9300e+03) (-2.9300e+00, 2.9300e+03) (-2.2239e+00,-2.2239e+03) (-2.2239e+00, 2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00,-1.1232e+03) (-1.1232e+00, 1.1232e+03) (-8.2155e-01,-4.5623e+01) (-8.2155e-01, 4.5623e+01) 
    4 (-8.4951e+02, 1.5708e+05) (-7.3108e+04, 1.5708e+05) (-2.6887e+03, 7.5466e+04) (-2.6887e+03,-7.5466e+04) (-3.2676e+02,-4.2820e+04) (-3.2676e+02, 4.2820e+04) (-2.2761e+01,-2.2761e+04) (-2.2761e+01, 2.2761e+04) (-2.1973e+01,-2.1973e+04) (-2.1973e+01, 2.1973e+04) (-1.9955e+01,-1.9955e+04) (-1.9955e+01, 1.9955e+04) (-1.7398e+01,-1.7398e+04) (-1.7398e+01, 1.7398e+04) (-1.4826e+01, 1.4826e+04) (-1.4826e+01,-1.4826e+04) (-1.2485e+01,-1.2485e+04) (-1.2485e+01, 1.2485e+04) (-1.0439e+01,-1.0439e+04) (-1.0439e+01, 1.0439e+04) (-8.6785e+00,-8.6785e+03) (-8.6785e+00, 8.6785e+03) (-7.1697e+00,-7.1697e+03) (-7.1697e+00, 7.1697e+03) (-5.8819e+00,-5.8819e+03) (-5.8819e+00, 5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00, 3.7474e+03) (-3.7474e+00,-3.7474e+03) (-2.9300e+00,-2.9300e+03) (-2.9300e+00, 2.9300e+03) (-2.2239e+00, 2.2239e+03) (-2.2239e+00,-2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00, 1.1232e+03) (-1.1232e+00,-1.1232e+03) (-3.4124e-01, 4.4720e+01) (-3.4124e-01,-4.4720e+01) 
    5 (-1.7490e+02, 1.3840e+05) (-1.7490e+02,-1.3840e+05) (-1.6421e+02, 1.1261e+05) (-1.6421e+02,-1.1261e+05) (-1.6946e+02, 9.0596e+04) (-1.6946e+02,-9.0596e+04) (-2.2761e+01, 2.2761e+04) (-2.2761e+01,-2.2761e+04) (-2.1973e+01, 2.1973e+04) (-2.1973e+01,-2.1973e+04) (-1.9955e+01,-1.9955e+04) (-1.9955e+01, 1.9955e+04) (-1.7398e+01, 1.7398e+04) (-1.7398e+01,-1.7398e+04) (-1.4826e+01,-1.4826e+04) (-1.4826e+01, 1.4826e+04) (-1.2485e+01, 1.2485e+04) (-1.2485e+01,-1.2485e+04) (-1.0439e+01, 1.0439e+04) (-1.0439e+01,-1.0439e+04) (-8.6785e+00, 8.6785e+03) (-8.6785e+00,-8.6785e+03) (-7.1697e+00, 7.1697e+03) (-7.1697e+00,-7.1697e+03) (-5.8819e+00, 5.8819e+03) (-5.8819e+00,-5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00,-3.7474e+03) (-3.7474e+00, 3.7474e+03) (-2.9300e+00,-2.9300e+03) (-2.9300e+00, 2.9300e+03) (-2.2239e+00,-2.2239e+03) (-2.2239e+00, 2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00, 1.1232e+03) (-1.1232e+00,-1.1232e+03) ( 2.7751e-01,-4.5387e+01) ( 2.7751e-01, 4.5387e+01) 
    6 (-2.9528e+02, 1.1245e+05) (-2.9528e+02,-1.1245e+05) (-2.2767e+02, 9.0802e+04) (-2.2767e+02,-9.0802e+04) (-6.8036e+02, 8.3841e+04) (-6.8036e+02,-8.3841e+04) (-2.2761e+01, 2.2761e+04) (-2.2761e+01,-2.2761e+04) (-2.1973e+01, 2.1973e+04) (-2.1973e+01,-2.1973e+04) (-1.9955e+01,-1.9955e+04) (-1.9955e+01, 1.9955e+04) (-1.7398e+01, 1.7398e+04) (-1.7398e+01,-1.7398e+04) (-1.4826e+01,-1.4826e+04) (-1.4826e+01, 1.4826e+04) (-1.2485e+01, 1.2485e+04) (-1.2485e+01,-1.2485e+04) (-1.0439e+01, 1.0439e+04) (-1.0439e+01,-1.0439e+04) (-8.6785e+00, 8.6785e+03) (-8.6785e+00,-8.6785e+03) (-7.1697e+00, 7.1697e+03) (-7.1697e+00,-7.1697e+03) (-5.8819e+00, 5.8819e+03) (-5.8819e+00,-5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00,-3.7474e+03) (-3.7474e+00, 3.7474e+03) (-2.9300e+00,-2.9300e+03) (-2.9300e+00, 2.9300e+03) (-2.2239e+00,-2.2239e+03) (-2.2239e+00, 2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00, 1.1232e+03) (-1.1232e+00,-1.1232e+03) (-7.7627e-01,-4.3791e+01) (-7.7627e-01, 4.3791e+01) 
    7 (-6.7936e+03, 1.3157e+05) (-6.7936e+03,-1.3157e+05) (-2.2102e+02,-9.0963e+04) (-2.2102e+02, 9.0963e+04) (-4.4755e+02, 8.4354e+04) (-4.4755e+02,-8.4354e+04) (-2.2761e+01,-2.2761e+04) (-2.2761e+01, 2.2761e+04) (-2.1973e+01, 2.1973e+04) (-2.1973e+01,-2.1973e+04) (-1.9955e+01, 1.9955e+04) (-1.9955e+01,-1.9955e+04) (-1.7398e+01,-1.7398e+04) (-1.7398e+01, 1.7398e+04) (-1.4826e+01,-1.4826e+04) (-1.4826e+01, 1.4826e+04) (-1.2485e+01, 1.2485e+04) (-1.2485e+01,-1.2485e+04) (-1.0439e+01, 1.0439e+04) (-1.0439e+01,-1.0439e+04) (-8.6785e+00, 8.6785e+03) (-8.6785e+00,-8.6785e+03) (-7.1697e+00, 7.1697e+03) (-7.1697e+00,-7.1697e+03) (-5.8819e+00, 5.8819e+03) (-5.8819e+00,-5.8819e+03) (-4.9669e+00, 4.9669e+03) (-4.9669e+00,-4.9669e+03) (-3.7474e+00,-3.7474e+03) (-3.7474e+00, 3.7474e+03) (-2.9300e+00,-2.9300e+03) (-2.9300e+00, 2.9300e+03) (-2.2239e+00,-2.2239e+03) (-2.2239e+00, 2.2239e+03) (-1.6238e+00, 1.6238e+03) (-1.6238e+00,-1.6238e+03) (-1.1232e+00,-1.1232e+03) (-1.1232e+00, 1.1232e+03) ( 2.1593e-01,-4.4964e+01) ( 2.1593e-01, 4.4964e+01) 
