Res_SecondMoment
                1           2           3           4           5           6           7           8           9          10 
    1  1.7655e+02 -2.0635e+01  5.4101e+02  5.6191e+02  3.0609e+02 -1.4058e+01 -6.7927e+02 -1.2868e+03  5.1076e+01  3.8674e+02 
    2  2.3270e+02 -2.5722e+01  5.5142e+02  5.1290e+02  3.0420e+02  8.8203e+01 -4.3194e+02 -1.0288e+03  4.4542e+01  2.1392e+02 
    3  1.1102e+03 -9.1092e+01  8.7047e+02  8.0364e+02 -2.5233e+02  1.1045e+03  3.9198e+02 -1.1002e+03  1.0307e+01  3.6638e+02 
    4  1.1018e+03 -2.1243e+02  1.4786e+03 -1.9322e+03  9.1321e+02 -9.0874e+02  4.0861e+02 -1.9490e+02  1.3808e+02 -4.3450e+01 
    5  2.7939e+02  7.1793e+01  6.6986e+01  4.3904e+02  2.0568e+02  2.5197e+02 -1.0971e+03  1.5433e+03 -2.9132e+01  1.9498e+02 
    6  5.1131e+03 -5.7364e+02 -5.6501e+02 -9.4589e+02  1.5920e+03 -7.4793e+03  2.5507e+04 -6.4284e+03 -5.2458e+02  3.2813e+03 
    7  1.9274e+02 -1.3879e+01  6.5224e+01  1.0794e+01  2.9558e+02  1.2622e+02  6.6274e+02  1.6438e+00  3.7034e+01 -1.8926e+01 
    8  1.4654e+02  3.7930e+00  6.0391e+01  9.2563e+01  1.9832e+02  1.9720e+02  4.7053e+02  3.9592e+01  2.3785e+01 -3.6490e+00 
    9  1.4402e+02  6.2280e+00  5.8032e+01  8.7860e+01  2.0398e+02  1.6601e+02  5.1572e+02  2.3999e+01  1.5098e+01  2.1093e+01 
   10  1.5309e+02  3.4622e+01  1.0430e+02 -2.1929e+02  5.0701e+02 -8.1700e+01  6.2804e+02 -3.0519e+01  2.9851e+01  1.0970e+02 
   11  6.5609e+02  2.2213e+01 -2.9714e+02  1.7034e+03 -1.9454e+02  4.3713e+02 -3.2005e+01  4.7233e+02 -1.3525e+01  1.4427e+02 
   12 -1.3926e+02  1.7133e+01 -1.0704e+02  3.8919e+02 -3.2269e+02  4.5096e+02 -8.1667e+01 -3.1250e+02  2.6098e+01  2.6079e+01 
   13  1.1203e+03  5.8268e+00  9.1613e+02 -1.1675e+03  3.3758e+02 -6.2024e+02  1.1248e+03  6.5083e+02  1.7321e+02 -1.2420e+03 
   14  1.5769e+02  6.9769e+01 -1.2931e+02  3.8624e+02  7.2313e+02  4.4522e+01  1.2904e+02  4.9710e+02 -1.5381e+01  2.5733e+02 
   15 -3.8916e+01 -1.8760e+01  1.9742e+02  3.6245e+02  4.1457e+02 -1.4303e+02  1.9539e+02  3.1967e+02  2.0189e+01  1.2088e+02 
   16  4.7148e+02 -3.1134e+01  2.1850e+02 -5.8542e+02 -3.0502e+02  6.5366e+02  6.4465e+02  8.4662e+02  1.7961e+01  3.1320e+01 
   17  2.0910e+02  9.9634e+00 -5.0540e+01 -2.8464e+02  5.0047e+01  2.4106e+02  6.0712e+02  3.2388e+02  1.7350e+01 -2.3453e+01 
   18  1.1727e+02  4.0414e+01 -7.3212e+01  1.5777e+02  3.8811e+02  4.2324e+02  8.4835e+02  2.4213e+02 -1.3126e+01  1.7857e+02 
   19 -3.6601e+01  1.9182e+01 -5.4323e+02  4.3157e+02 -1.8335e+02  2.7450e+02  2.7239e+02  2.1664e+01 -4.4425e+01  5.0848e+01 
   20  3.7718e+02  3.2291e+01  5.6862e+02  2.5829e+02  8.7741e+01  1.3308e+02  5.0812e+02  9.5798e+00  6.5658e+01  1.9288e+02 
   21  2.2599e+02  1.2917e+01  2.7182e+02  3.2833e+01  2.6892e+02  4.9343e+02  3.2062e+02 -1.5252e+02  7.0051e+01 -5.8194e+01 
   22  2.0722e+02  9.4954e+00  2.7381e+02 -1.1917e+01  3.4136e+02  4.9324e+02  3.0398e+02 -1.5782e+02  7.0409e+01 -1.7225e+01 
   23  1.8993e+02  1.0415e+01  2.4375e+02  3.7947e+01  4.1799e+02  4.4339e+02  3.1080e+02 -1.3387e+02  6.5581e+01 -2.5340e+01 
