Res_SingularValue
                1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16 
    1  1.6182e-01  3.5504e-03  2.8086e-04  2.7837e-04  2.7791e-04  2.7652e-04  2.7383e-04  2.7381e-04  2.7140e-04  2.7091e-04  2.7028e-04  2.7011e-04  2.6976e-04  2.6950e-04  2.6937e-04  2.6912e-04 
    2  1.5689e-01  3.6583e-03  2.7769e-04  2.7480e-04  2.7462e-04  2.7375e-04  2.6970e-04  2.6960e-04  2.6733e-04  2.6700e-04  2.6655e-04  2.6641e-04  2.6640e-04  2.6587e-04  2.6566e-04  2.6501e-04 
    3  1.4650e-01  3.9161e-03  2.6280e-04  2.6236e-04  2.6184e-04  2.5758e-04  2.5645e-04  2.5570e-04  2.5535e-04  2.5393e-04  2.5373e-04  2.5333e-04  2.5275e-04  2.5210e-04  2.5156e-04  2.5133e-04 
    4  1.3805e-01  4.1482e-03  2.5408e-04  2.5389e-04  2.4834e-04  2.4706e-04  2.4676e-04  2.4500e-04  2.4440e-04  2.4359e-04  2.4350e-04  2.4254e-04  2.4239e-04  2.4187e-04  2.4116e-04  2.4072e-04 
    5  1.3851e-01  4.1266e-03  2.6396e-04  2.6351e-04  2.6145e-04  2.6051e-04  2.5924e-04  2.5913e-04  2.5059e-04  2.5006e-04  2.4976e-04  2.4922e-04  2.4809e-04  2.4795e-04  2.4648e-04  2.4569e-04 
    6  1.4741e-01  3.8786e-03  2.7882e-04  2.7811e-04  2.7352e-04  2.7345e-04  2.7058e-04  2.7007e-04  2.6648e-04  2.6553e-04  2.6178e-04  2.6140e-04  2.6107e-04  2.6071e-04  2.6039e-04  2.5983e-04 
    7  1.5737e-01  3.6282e-03  2.8954e-04  2.8901e-04  2.8304e-04  2.8279e-04  2.7871e-04  2.7789e-04  2.7749e-04  2.7652e-04  2.7624e-04  2.7512e-04  2.6904e-04  2.6865e-04  2.6794e-04  2.6758e-04 
    8  1.6131e-01  3.5374e-03  2.9294e-04  2.9235e-04  2.8667e-04  2.8639e-04  2.8399e-04  2.8240e-04  2.8093e-04  2.8087e-04  2.8054e-04  2.7893e-04  2.7376e-04  2.7327e-04  2.7163e-04  2.7130e-04 
    9  1.5666e-01  3.6393e-03  2.8807e-04  2.8756e-04  2.8332e-04  2.8310e-04  2.8075e-04  2.7971e-04  2.7799e-04  2.7770e-04  2.7494e-04  2.7319e-04  2.7107e-04  2.7052e-04  2.6748e-04  2.6693e-04 
   10  1.4638e-01  3.8884e-03  2.7979e-04  2.7925e-04  2.7295e-04  2.7229e-04  2.6945e-04  2.6915e-04  2.6428e-04  2.6350e-04  2.5981e-04  2.5960e-04  2.5623e-04  2.5509e-04  2.5449e-04  2.5216e-04 
   11  1.3782e-01  4.1310e-03  2.6598e-04  2.6035e-04  2.6000e-04  2.5972e-04  2.5847e-04  2.5460e-04  2.4590e-04  2.4573e-04  2.4127e-04  2.4086e-04  2.3925e-04  2.3883e-04  2.3699e-04  2.3652e-04 
   12  1.3794e-01  4.1215e-03  2.4456e-04  2.4423e-04  2.4234e-04  2.4192e-04  2.4170e-04  2.4046e-04  2.3880e-04  2.3775e-04  2.3726e-04  2.3713e-04  2.3637e-04  2.3619e-04  2.3514e-04  2.3477e-04 
   13  1.4660e-01  3.8765e-03  2.6637e-04  2.6494e-04  2.6245e-04  2.6179e-04  2.6095e-04  2.6063e-04  2.5997e-04  2.5968e-04  2.5937e-04  2.5864e-04  2.5650e-04  2.5627e-04  2.5220e-04  2.5180e-04 
   14  1.5663e-01  3.6283e-03  2.7582e-04  2.7542e-04  2.7270e-04  2.7260e-04  2.7254e-04  2.7121e-04  2.6958e-04  2.6889e-04  2.6799e-04  2.6777e-04  2.6676e-04  2.6648e-04  2.6628e-04  2.6558e-04 
   15  1.6083e-01  3.5273e-03  2.8012e-04  2.7987e-04  2.7675e-04  2.7635e-04  2.7627e-04  2.7532e-04  2.7525e-04  2.7439e-04  2.7276e-04  2.7216e-04  2.7150e-04  2.7114e-04  2.7050e-04  2.6984e-04 
   16  1.5646e-01  3.6221e-03  2.7633e-04  2.7618e-04  2.7366e-04  2.7293e-04  2.7147e-04  2.7080e-04  2.7058e-04  2.6978e-04  2.6841e-04  2.6829e-04  2.6724e-04  2.6659e-04  2.6555e-04  2.6473e-04 
   17  1.4625e-01  3.8677e-03  2.6460e-04  2.6422e-04  2.6405e-04  2.6321e-04  2.6071e-04  2.6037e-04  2.6016e-04  2.5986e-04  2.5452e-04  2.5410e-04  2.5248e-04  2.5130e-04  2.5063e-04  2.5054e-04 
   18  1.3748e-01  4.1095e-03  2.5263e-04  2.5183e-04  2.5045e-04  2.4917e-04  2.4697e-04  2.4691e-04  2.4623e-04  2.4584e-04  2.4245e-04  2.4198e-04  2.4070e-04  2.4028e-04  2.3776e-04  2.3724e-04 
   19  1.3729e-01  4.1141e-03  2.5419e-04  2.5379e-04  2.5312e-04  2.5256e-04  2.5105e-04  2.5040e-04  2.4862e-04  2.4545e-04  2.4410e-04  2.4323e-04  2.4287e-04  2.4267e-04  2.4132e-04  2.4033e-04 
   20  1.4577e-01  3.8713e-03  2.8135e-04  2.7297e-04  2.6686e-04  2.6647e-04  2.6376e-04  2.6326e-04  2.6192e-04  2.6158e-04  2.5814e-04  2.5737e-04  2.5648e-04  2.5615e-04  2.5450e-04  2.5435e-04 
   21  1.5585e-01  3.6188e-03  2.8456e-04  2.8014e-04  2.7952e-04  2.7622e-04  2.7570e-04  2.7561e-04  2.7250e-04  2.7206e-04  2.7108e-04  2.7050e-04  2.6786e-04  2.6774e-04  2.6725e-04  2.6651e-04 
   22  1.6032e-01  3.5192e-03  2.9060e-04  2.8393e-04  2.8323e-04  2.8168e-04  2.8070e-04  2.8048e-04  2.7749e-04  2.7712e-04  2.7427e-04  2.7377e-04  2.7174e-04  2.7144e-04  2.7118e-04  2.7020e-04 
